"filename", "language", "JavaScript", "CSS", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipList.js", "JavaScript", -135, 0, 0, 0, -3, -25, -163
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\ScholarshipRegister.js", "JavaScript", -295, 0, 0, 0, -1, -33, -329
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Scholarship\test.js", "JavaScript", -7, 0, 0, 0, 0, -2, -9
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Status\Status.js", "JavaScript", -23, 0, 0, 0, 0, -3, -26
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Status\StatusList.js", "JavaScript", -46, 0, 0, 0, -4, -9, -59
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\context\WebContext.js", "JavaScript", -43, 0, 0, 0, 0, -8, -51
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\controller\Controllers.js", "JavaScript", -22, 0, 0, 0, -1, -5, -28
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\controller\LoginController.js", "JavaScript", -22, 0, 0, 0, 0, -5, -27
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\controller\MainController.js", "JavaScript", -74, 0, 0, 0, -2, -9, -85
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\data\datanews.js", "JavaScript", -24, 0, 0, 0, 0, -3, -27
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\data\profile.json", "JSON", 0, 0, 0, -41, 0, -1, -42
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\data\test.js", "JavaScript", -11, 0, 0, 0, 0, -3, -14
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\index.css", "CSS", 0, -12, 0, 0, 0, -2, -14
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\index.js", "JavaScript", -13, 0, 0, 0, -3, -6, -22
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\AlertModal.css", "CSS", 0, 0, 0, 0, -30, -4, -34
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\AlertModal.js", "JavaScript", -34, 0, 0, 0, 0, -4, -38
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\ConfirmModal.css", "CSS", 0, 0, 0, 0, -48, -1, -49
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\ConfirmModal.js", "JavaScript", -23, 0, 0, 0, -11, -4, -38
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\ImageModal.css", "CSS", 0, -36, 0, 0, 0, -5, -41
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\modals\ImageModal.js", "JavaScript", -26, 0, 0, 0, 0, -2, -28
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\LoginPage.js", "JavaScript", -44, 0, 0, 0, 0, -9, -53
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\pages\MainPage.js", "JavaScript", -222, 0, 0, 0, -3, -30, -255
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\reportWebVitals.js", "JavaScript", -12, 0, 0, 0, 0, -2, -14
"Total", "-", 2269, -36, 740, -41, -181, 285, 3036
